Business Name,Area,candidate_website,website_sources,candidate_linkedin,linkedin_sources,candidate_github
AdvanSoft India,HITEC City,,https://movie.douban.com/subject/26727298/celebrities; https://www.zhihu.com/question/6955005421; https://www.zhihu.com/question/546147626; https://www.zhihu.com/question/28846807; https://movie.douban.com/subject/26727298/,,https://www.metoffice.gov.uk/; https://openweathermap.org/weathermap; https://www.accuweather.com/en/gb/national/current-weather-maps; https://zoom.earth/maps/temperature/; https://weather.metoffice.gov.uk/maps-and-charts/temperature-map,
AheadRace Software,Gachibowli,,https://www.liveworksheets.com/worksheet/en/fililpino-3/7179107; https://www.filipinohomeschooler.com/salitang-ugat-filipino-worksheets/; https://samutsamot.com/tag/salitang-ugat/; https://www.liveworksheets.com/worksheet/tl/filipino/1427887; https://samutsamot.com/tag/filipino-worksheets-for-grade-3/,,https://www.mandirikartukredit.com/comparison; https://www.mandirikartukredit.com/; https://www.mandirikartukredit.com/produk/signature; https://www.mandirikartukredit.com/produk; https://www.mandirikartukredit.com/upgrade-limit-mkk/daftar?c=reguler,
Data Glove IT Solutions,Gachibowli,,https://data.gov/; https://en.wikipedia.org/wiki/Data; https://www.ibm.com/think/topics/data; https://www.geeksforgeeks.org/data-analysis/what-is-data/; https://www.kaggle.com/datasets,,https://data.gov/; https://en.wikipedia.org/wiki/Data; https://www.ibm.com/think/topics/data; https://www.geeksforgeeks.org/data-analysis/what-is-data/; https://www.kaggle.com/datasets,
Heron Health,HITEC City,,https://zhuanlan.zhihu.com/p/97198043; https://support.google.cn/chrome/answer/95346?hl=zh-Hans; https://blog.csdn.net/rllyz/article/details/122241493; https://zhidao.baidu.com/question/253841685953276244.html; https://zhuanlan.zhihu.com/p/611187520,,https://support.google.com/youtube/answer/72857?hl=en; https://support.google.com/youtube/answer/3227660?hl=es&co=GENIE.Platform%3DAndroid; https://support.google.com/youtube/answer/174084?hl=en&co=GENIE.Platform%3DDesktop; https://support.google.com/youtube/answer/161805?hl=ja&co=GENIE.Platform%3DDesktop; https://support.google.com/youtube/answer/1646861?hl=ja,
Intelex Systems,Gachibowli,,https://www.wlspros.ca/blog/what-is-intelex-ehs-management-software/; https://fortive.com/intelex; https://intelex.ca/user/login.php; https://www.intelexbilling.com/index.php?rp=%2Flogin; https://play.google.com/store/apps/details?id=com.intelex.intelexmobile&hl=en-US,,https://www.wlspros.ca/blog/what-is-intelex-ehs-management-software/; https://fortive.com/intelex; https://intelex.ca/user/login.php; https://www.intelexbilling.com/index.php?rp=%2Flogin; https://play.google.com/store/apps/details?id=com.intelex.intelexmobile&hl=en-US,
Intertech Labs,Gachibowli,,https://chatgpt.com/auth/login; https://openai.com/index/chatgpt/; https://en.wikipedia.org/wiki/ChatGPT; https://chatgpt.com/; https://openai.com/index/start-using-chatgpt-instantly/,,https://www.zhihu.com/question/1914835429443744735; https://q.hatena.ne.jp/1259258887; https://www.zhihu.com/question/1908108790345241497; https://www.zhihu.com/question/644748991; https://q.hatena.ne.jp/1274519195,
Kapil IT Solutions,Gachibowli,,https://en.wikipedia.org/wiki/Kapil_Sharma; https://en.wikipedia.org/wiki/The_Great_Indian_Kapil_Show; https://www.sonyliv.com/shows/the-kapil-sharma-show-1700000083; https://starsunfolded.com/kapil-sharma/,,https://en.wikipedia.org/wiki/Kapil_Sharma; https://en.wikipedia.org/wiki/The_Great_Indian_Kapil_Show; https://www.sonyliv.com/shows/the-kapil-sharma-show-1700000083; https://starsunfolded.com/kapil-sharma/,
Logicmatter India,Gachibowli,,https://www.google.co.in/intl/en_uk/chrome/safety/; https://www.google.co.in/intx/en/forms/about/; https://www.google.co.in/intl/en_uk/chrome/; https://translate.google.co.in/; https://www.google.co.in/index.html,,https://hoteltexas.net/about-us/; https://hoteltexas.net/; https://hoteltexas.net/our-villa/; https://hoteltexas.net/booking-form/; https://hoteltexas.net/contact-us/,
Pranaya Life Sciences,Gachibowli,,https://housefoods.jp/products/index.html; https://housefoods.jp/index.html; https://housefoods.jp/event/index.html; https://housefoods.jp/recipe/index.html; https://housefoods.jp/company/index.html,,https://spotify.link/8JnKrNFWLob; https://open.spotify.com/; https://apps.microsoft.com/detail/9ncbcszsjrsb; https://play.google.com/store/apps/details?id=com.spotify.music&hl=en-US; https://www.webplayer.byspotify.com/,
Value Add Knowledge Services,HITEC City,,https://dictionary.cambridge.org/dictionary/english/value; https://www.merriam-webster.com/thesaurus/value; https://bloxfruitsvalues.com/; https://www.merriam-webster.com/dictionary/value; https://valugroup.com/,,https://dictionary.cambridge.org/dictionary/english/value; https://www.merriam-webster.com/thesaurus/value; https://bloxfruitsvalues.com/; https://www.merriam-webster.com/dictionary/value; https://valugroup.com/,
